"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1849,20,58,55,94.8275862068966,91.8324108906806,33,56.8965517241379,63.88411876779,0,0,0.25639758074964,2,3.44827586206897,7.75481309593984
1850,13,63,59,93.6507936507936,91.4525922965763,45,71.4285714285714,64.2412616249329,0,0,0.103336356259844,4,6.34920634920635,8.13463169004415
1851,31,104,101,97.1153846153846,91.6988901164035,71,68.2692307692308,64.2232649157597,1,0.961538461538462,0.199490202413691,3,2.88461538461538,7.94180980604579
1852,17,76,69,90.7894736842105,91.0217399238489,50,65.7894736842105,63.8335711691982,0,0,0.164646996838778,5,6.57894736842105,8.35580210386351
1853,29,97,93,95.8762886597938,91.3988424740389,64,65.979381443299,64.1157198398439,1,1.03092783505155,0.267739780343932,4,4.12371134020619,7.9786995536736
1854,9,44,43,97.7272727272727,91.9934875549853,34,77.2727272727273,65.5416227041029,0,0,0.199246629659001,1,2.27272727272727,7.38405447272715
1855,30,138,119,86.231884057971,91.9803123244188,83,60.1449275362319,65.7119596135702,0,0,0.199246629659001,19,13.768115942029,7.46216476822875
1856,11,43,41,95.3488372093023,93.9542204355929,30,69.7674418604651,67.4448013605924,0,0,0.199246629659001,2,4.65116279069767,5.61020787656681
1857,26,76,71,93.4210526315789,94.4988573443204,42,55.2631578947368,66.3888386690534,0,0,0.199246629659001,5,6.57894736842105,5.06557096783929
1858,16,125,51,40.8,88.5788573443204,33,26.4,61.7211463613611,0,0,0.199246629659001,74,59.2,10.9855709678393
1859,15,67,57,85.0746268656716,87.6035614101979,41,61.1940298507463,62.1508941740219,1,1.49253731343284,0.348500361002284,10,14.9253731343284,12.1332806950652
1860,28,255,77,30.1960784313725,81.2580898882558,50,19.6078431372549,56.9688213448903,1,0.392156862745098,0.387716047276794,178,69.8039215686274,18.4787522170073
1861,32,84,83,98.8095238095238,81.4275038076697,50,59.5238095238095,56.0942792203481,0,0,0.291562201122948,1,1.19047619047619,18.3093382975934
1862,16,74,60,81.0810810810811,80.4566645473568,44,59.4594594594595,55.461277797873,1,1.35135135135135,0.426697336258083,13,17.5675675675676,19.4082003175081
1863,20,106,78,73.5849056603774,78.2275262474151,59,55.6603773584906,54.4293773893922,1,0.943396226415094,0.417944175394438,28,26.4150943396226,21.6373386174497
1864,10,48,42,87.5,77.2047989746879,31,64.5833333333333,53.1604379954528,0,0,0.417944175394438,6,12.5,22.660065890177
1865,30,120,98,81.6666666666667,76.7482772355574,70,58.3333333333333,52.9792785751629,2,1.66666666666667,0.584610842061105,22,18.3333333333333,23.1165876293074
1866,33,129,124,96.1240310077519,76.8257966154024,87,67.4418604651163,52.7467204356281,0,0,0.584610842061105,5,3.87596899224806,23.0390682494625
