"museum_label","museum_name","museum_country","museum_subregion","museum_city","museum_city_latitude","museum_city_longitude","total_type_specimens","holotype_count","syntype_count","lectotype_count","neotype_count","nonexistent_count"
"TM","Transvaal Museum","South Africa","NA","Pretoria","-25.73","28.22",337,336,1,0,0,0
"TMAG","Tasmanian Museum and Art Gallery","Australia","Tasmania","NA","NA","NA",NA,NA,NA,NA,NA,NA
"TMANH","Takikawa Museum of Art and Natural History","Japan","NA","Takikawa","43.57","141.9",NA,NA,NA,NA,NA,NA
"TMH","Teylers Museum","Netherlands","NA","Haarlem","52.39","4.62",NA,NA,NA,NA,NA,NA
"TMM","Texas Memorial Museum","United States","Texas","Austin","30.31","-97.75",1,1,0,0,0,0
"TMN","Tianyu Museum of Nature","China","NA","Pingyi","35.51","117.62",NA,NA,NA,NA,NA,NA
"TMNH","Toyohashi Museum of Natural History","Japan","NA","Aichi","NA","NA",NA,NA,NA,NA,NA,NA
"TMP","Royal Tyrrell Museum of Palaeontology","Canada","NA","Drumheller","51.47","-112.71",NA,NA,NA,NA,NA,NA
"TNHC","Texas Natural History Collection, University of Texas","United States","Texas","NA","NA","NA",1,1,0,0,0,0
"TNP","Tianjin Natural History Museum","China","NA","Tianjin","39.130000000000003","117.2",NA,NA,NA,NA,NA,NA
"TNRC","Thai National Reference Collections","Thailand","NA","NA","NA","NA",6,6,0,0,0,0
"TNU","Taurida National University","Ukraine","NA","Simferopol","NA","NA",NA,NA,NA,NA,NA,NA
"Tokuda collection","Collection of M. Tokuda","Japan","NA","NA","NA","NA",8,8,0,0,0,0
"TPII","Thanksgiving Point Institute","United States","Utah","Lehi","NA","NA",NA,NA,NA,NA,NA,NA
"Tring","Tring Museum","United Kingdom","NA","Tring","51.78","-0.65",12,12,0,0,0,0
"TSU","Tiraspol State University","Moldova","NA","Chisinău","47.03","28.83",NA,NA,NA,NA,NA,NA
"TTM","Tiantai Museum","China","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
"TTMEU","Natural History Museum of the Ege University","Turkey","NA","Izmir","38.43","27.15",1,1,0,0,0,0
"TTU","Texas Tech University","United States","Texas","Lubbock","33.58","-101.88",53,38,14,0,1,0
"TU","Tulane University Museum of Natural History","United States","Louisiana","NA","NA","NA",NA,NA,NA,NA,NA,NA
"TUB","Technische Universität Berlin","Germany","Berlin","Berlin","52.52","13.38",NA,NA,NA,NA,NA,NA
"TUM","Tohoku University Museum","Japan","NA","Sendai","NA","NA",1,1,0,0,0,0
"UABC","Universidad Autónoma de Baja California","Mexico","Baja California","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UABCS","Universidad Autónoma de Baja California Sur","Mexico","Baja California Sur","La Paz","24.14","-110.32",NA,NA,NA,NA,NA,NA
"UAC","Universidad de los Andes, Colombia","Colombia","NA","NA","NA","NA",1,1,0,0,0,0
"UACH","Universidad Austral de Chile","Chile","NA","Valdivia","-39.82","-73.23",7,6,0,0,1,0
"UAFMC","University of Arkansas Collections Facility","United States","Arkansas","Fayetteville","NA","NA",NA,NA,NA,NA,NA,NA
"UAHMP","Museo de Paleontología, Universidad Autónoma del Estado de Hidalgo","Mexico","Hidalgo","NA","NA","NA",NA,NA,NA,NA,NA,NA
"UAIC","Alexandru Ioan Cuza University","Romania","NA","Iași","47.17","27.57",NA,NA,NA,NA,NA,NA
"UALP","University of Arizona Laboratory of Paleontology","United States","Arizona","Tucson","32.221666999999997","-110.926389",NA,NA,NA,NA,NA,NA
"UALVP","Laboratory for Vertebrate Paleontology, University of Alberta, Edmonton","Canada","NA","Edmonton","53.57","-113.54",NA,NA,NA,NA,NA,NA
"UAM","University of Alaska Museum","United States","Alaska","Fairbanks","NA","NA",1,1,0,0,0,0
