"id","link","label","name","comment","city","location_link","location","state","country","hesperomys_num_type_specimens","museum_city_latitude","museum_city_longitude"
506,"http://hesperomys.com/c/506","Sartène","Musée de Sartène","NA","Sartène","http://hesperomys.com/r/1968","Corse-du-Sud","NA","France",2,"NA","NA"
999,"http://hesperomys.com/c/999","SAS","Soprintendenza Archeologica","NA","Salerno","http://hesperomys.com/r/4081","Campania","NA","Italy",1,"40.68","14.77"
1207,"http://hesperomys.com/c/1207","SBAU","Soprintendenza per i Beni Archeologici dell'Umbria","NA","Perugia","http://hesperomys.com/r/4092","Umbria","NA","Italy",1,"43.11","12.39"
808,"http://hesperomys.com/c/808","SBCM","San Bernardino County Museum","NA","Redlands","http://hesperomys.com/r/948","San Bernardino County, California","California","United States",9,"34.06","-117.17"
866,"http://hesperomys.com/c/866","SBEI","Shiramine Board of Education","NA","Ishikawa Prefecture","http://hesperomys.com/r/4364","Ishikawa Prefecture","NA","Japan",12,"NA","NA"
1213,"http://hesperomys.com/c/1213","SBGED","Sichuan Bureau of Geological Exploration and Development of Mineral Resources","NA","NA","http://hesperomys.com/r/294","Sichuan","NA","China",1,"NA","NA"
509,"http://hesperomys.com/c/509","SBMNH","Santa Barbara Museum of Natural History","NA","Santa Barbara","http://hesperomys.com/r/954","Santa Barbara County, California","California","United States",2,"34.43","-119.72"
203,"http://hesperomys.com/c/203","SBUP","School of Biology, University of Pennsylvania","NA","NA","http://hesperomys.com/r/3500","Philadelphia County, Pennsylvania","Pennsylvania","United States",0,"NA","NA"
1228,"http://hesperomys.com/c/1228","SBV","Shaanxi Geological Museum","NA","NA","http://hesperomys.com/r/290","Shaanxi","NA","China",2,"NA","NA"
411,"http://hesperomys.com/c/411","SCEAI","South China Endangered Animal Institute","NA","Guangzhou","http://hesperomys.com/r/272","Guangdong","NA","China",2,"23.12","113.25"
1085,"http://hesperomys.com/c/1085","Schmeißner collection","Collection of Stefan Schmeißner","NA","Kulmbach","http://hesperomys.com/r/776","Bavaria","Bavaria","Germany",1,"50.12","11.44"
1001,"http://hesperomys.com/c/1001","Schneider collection","Collection of Thomas Schneider","NA","Helbra","http://hesperomys.com/r/788","Saxony-Anhalt","Saxony-Anhalt","Germany",1,"NA","NA"
1317,"http://hesperomys.com/c/1317","SCM","Sado Museum","NA","Sado","http://hesperomys.com/r/4366","Niigata Prefecture","NA","Japan",1,"NA","NA"
1431,"http://hesperomys.com/c/1431","SCNU","Sichuan Normal University","NA","Chengdu","http://hesperomys.com/r/294","Sichuan","NA","China",1,"30.67","104.07"
687,"http://hesperomys.com/c/687","SCSM","South Carolina State Museum","NA","Columbia","http://hesperomys.com/r/3316","Richland County, South Carolina","South Carolina","United States",3,"NA","NA"
977,"http://hesperomys.com/c/977","SDM","Shandong Museum","NA","Yinan","http://hesperomys.com/r/291","Shandong","NA","China",6,"NA","NA"
111,"http://hesperomys.com/c/111","SDNHM","San Diego Natural History Museum","NA","San Diego","http://hesperomys.com/r/949","San Diego County, California","California","United States",118,"32.81","-117.14"
1070,"http://hesperomys.com/c/1070","SDRC","Sahatsakhan Dinosaur Research Center","NA","Kalasin","http://hesperomys.com/r/175","Thailand","NA","Thailand",1,"16.43","103.5"
249,"http://hesperomys.com/c/249","SDSM","South Dakota School of Mines and Technology","NA","Rapid City","http://hesperomys.com/r/1021","Pennington County, South Dakota","South Dakota","United States",89,"44.08","-103.23"
1263,"http://hesperomys.com/c/1263","Serdan","Museo Serdan","NA","NA","http://hesperomys.com/r/415","Puebla","Puebla","Mexico",1,"NA","NA"
1217,"http://hesperomys.com/c/1217","SFMV","Shiga-mura Fossil Museum","NA","Shiga-mura","http://hesperomys.com/r/4365","Nagano Prefecture","NA","Japan",3,"NA","NA"
320,"http://hesperomys.com/c/320","SFNRMB","Shaanxi Foping National Reserve Management Bureau","NA","NA","http://hesperomys.com/r/290","Shaanxi","NA","China",1,"NA","NA"
918,"http://hesperomys.com/c/918","SGHN","Museo da Natureza da Sociedade Galega de Historia Natural","NA","Ferrol","http://hesperomys.com/r/4024","A Coruña","NA","Spain",3,"43.49","-8.24"
1246,"http://hesperomys.com/c/1246","SGS","Saudi Geological Survey","NA","Jeddah","http://hesperomys.com/r/152","Saudi Arabia","NA","Saudi Arabia",1,"NA","NA"
329,"http://hesperomys.com/c/329","SGT","Service Géologique de Tunisie","NA","Tunis","http://hesperomys.com/r/179","Tunisia","NA","Tunisia",10,"36.840000000000003","10.220000000000001"
1106,"http://hesperomys.com/c/1106","SGU","Saratov State University","NA","Saratov","http://hesperomys.com/r/753","Saratov Oblast","NA","Russia",2,"51.57","46.03"
1422,"http://hesperomys.com/c/1422","ShAM","Shimonoseki City Archaeological Museum","NA","Shimonoseki","http://hesperomys.com/r/4374","Yamaguchi Prefecture","NA","Japan",1,"33.96","130.94"
981,"http://hesperomys.com/c/981","SHM","Srisuk House Museum","NA","Cha Prong","http://hesperomys.com/r/175","Thailand","NA","Thailand",3,"NA","NA"
769,"http://hesperomys.com/c/769","SHN","Sociedade de História Natural","NA","Torres Vedras","http://hesperomys.com/r/141","Portugal","NA","Portugal",5,"39.1","-9.26"
1538,"http://hesperomys.com/c/1538","ShNU","Shaanxi Normal University","NA","NA","http://hesperomys.com/r/290","Shaanxi","NA","China",1,"NA","NA"
1529,"http://hesperomys.com/c/1529","SHRBM","Shrewsbury Borough Museum","NA","Shrewsbury","http://hesperomys.com/r/341","England","NA","United Kingdom",1,"52.71","-2.75"
1229,"http://hesperomys.com/c/1229","SHSX","Second High School of Xixiang","NA","Xixiang","http://hesperomys.com/r/290","Shaanxi","NA","China",1,"35.17","112.87"
1216,"http://hesperomys.com/c/1216","SICC","Sado Island Community Center","NA","Ogi-machi","http://hesperomys.com/r/4366","Niigata Prefecture","NA","Japan",1,"NA","NA"
1187,"http://hesperomys.com/c/1187","Siena","Dipartimento di Scienze della Terra, Università di Siena","NA","Siena","http://hesperomys.com/r/4091","Tuscany","NA","Italy",2,"43.33","11.32"
657,"http://hesperomys.com/c/657","SiGeP","Sino-German Project","""Sino-German Project, a collection currently housed at the Steinmann-Institut at the Universität Bonn, Germany. After completion of the investigation, the material will be permanently deposited under the SGP collection numbers in the Research Center of Paleontology and Stratigraphy at the Jilin University in Changchun, China."" {Xinjiang Qigu L Jurassic.pdf}","Bonn","http://hesperomys.com/r/784","North Rhine-Westphalia","North Rhine-Westphalia","Germany",8,"50.73","7.1"
791,"http://hesperomys.com/c/791","SIGMR","Shenyang Institute of Geology and Mineral Resources","NA","Shenyang","http://hesperomys.com/r/286","Liaoning","NA","China",1,"41.8","123.45"
711,"http://hesperomys.com/c/711","SiM","Sirindhorn Museum","NA","Kalasin","http://hesperomys.com/r/175","Thailand","NA","Thailand",7,"16.43","103.5"
582,"http://hesperomys.com/c/582","SIU","Southern Illinois University","NA","Carbondale","http://hesperomys.com/r/2614","Jackson County, Illinois","Illinois","United States",2,"NA","NA"
1407,"http://hesperomys.com/c/1407","SIZ","Shaanxi Institute of Zoology","NA","NA","http://hesperomys.com/r/290","Shaanxi","NA","China",1,"NA","NA"
416,"http://hesperomys.com/c/416","SLCP","Slender Loris Conservation Project","NA","NA","http://hesperomys.com/r/165","Sri Lanka","NA","Sri Lanka",2,"NA","NA"
413,"http://hesperomys.com/c/413","SLP","Société Laonnoise de Paléontologie","Stored in the MNHN, Paris","Paris","http://hesperomys.com/r/2024","Paris","NA","France",4,"48.86","2.34"
1029,"http://hesperomys.com/c/1029","SMA","Sauriermuseum Aathal","NA","Aathal","http://hesperomys.com/r/4098","Zürich","NA","Switzerland",2,"NA","NA"
895,"http://hesperomys.com/c/895","SMAC","Sapporo Museum Activity Center","NA","Sapporo","http://hesperomys.com/r/4354","Hokkaido","NA","Japan",2,"43.06","141.34"
1417,"http://hesperomys.com/c/1417","SMBU","Strecker Museum, Baylor University","NA","Waco","http://hesperomys.com/r/1434","McLennan County, Texas","Texas","United States",1,"31.57","-97.18"
1146,"http://hesperomys.com/c/1146","SME","Stadtmuseum Esslingen","NA","Esslingen","http://hesperomys.com/r/775","Baden-Württemberg","Baden-Württemberg","Germany",1,"48.74","9.32"
15,"http://hesperomys.com/c/15","SMF","Senckenberg Museum Frankfurt","NA","Frankfurt","http://hesperomys.com/r/781","Hesse","Hesse","Germany",287,"50.110556000000003","8.6822219999999994"
1017,"http://hesperomys.com/c/1017","SMFr","Sauriermuseum Frick","NA","Frick","http://hesperomys.com/r/4116","Aargau","NA","Switzerland",1,"47.5","8.02"
523,"http://hesperomys.com/c/523","SMK","Sarawak Museum","NA","Kuching","http://hesperomys.com/r/493","Sarawak","Sarawak","Malaysia",3,"1.55","110.34"
1137,"http://hesperomys.com/c/1137","SML","Schwegler Museum","NA","Langenaltheim","http://hesperomys.com/r/776","Bavaria","Bavaria","Germany",1,"NA","NA"
822,"http://hesperomys.com/c/822","SMM","Science Museum of Minnesota","NA","Saint Paul","http://hesperomys.com/r/2106","Ramsey County, Minnesota","Minnesota","United States",15,"44.95","-93.1"
1403,"http://hesperomys.com/c/1403","SMMP","Sanya Museum of Marine Paleontology","NA","NA","http://hesperomys.com/r/275","Hainan","NA","China",1,"NA","NA"
765,"http://hesperomys.com/c/765","SMN","State Museum, Namibia","NA","Windhoek","http://hesperomys.com/r/123","Namibia","NA","Namibia",1,"-22.56","17.09"
742,"http://hesperomys.com/c/742","SMNH","Saskatchewan Museum of Natural History","NA","Saskatoon","http://hesperomys.com/r/489","Saskatchewan","NA","Canada",27,"52.139721999999999","-106.686111"
650,"http://hesperomys.com/c/650","SMNK","Staatliches Museum für Naturkunde","NA","Karlsruhe","http://hesperomys.com/r/775","Baden-Württemberg","Baden-Württemberg","Germany",18,"49","8.4"
48,"http://hesperomys.com/c/48","SMNS","Staatliches Museum für Naturkunde Stuttgart","NA","Stuttgart","http://hesperomys.com/r/775","Baden-Württemberg","Baden-Württemberg","Germany",209,"48.79","9.19"
739,"http://hesperomys.com/c/739","SMP","State Museum of Pennsylvania","NA","Harrisburg","http://hesperomys.com/r/3471","Dauphin County, Pennsylvania","Pennsylvania","United States",10,"40.28","-76.88"
1377,"http://hesperomys.com/c/1377","SMPKK","Sirindhorn Museum (Phu Kum Khao)","NA","Sahatsakhan","http://hesperomys.com/r/175","Thailand","NA","Thailand",2,"NA","NA"
1269,"http://hesperomys.com/c/1269","SMPR","Ростовский областной краеведческий музей","NA","Rostov on the Don","http://hesperomys.com/r/747","Rostov Oblast","NA","Russia",2,"NA","NA"
580,"http://hesperomys.com/c/580","SMU","Southern Methodist University","NA","Dallas","http://hesperomys.com/r/1336","Dallas County, Texas","Texas","United States",36,"32.79","-96.77"
287,"http://hesperomys.com/c/287","SMZ","Prozritelev and Prave Stavropol State Historical–Cultural and Nature–Landscape Museum","NA","Stavropol","http://hesperomys.com/r/755","Stavropol Krai","NA","Russia",1,"45.04","41.97"
834,"http://hesperomys.com/c/834","SNGM","Servicio Nacional de Geología y Minería","NA","Santiago","http://hesperomys.com/r/35","Chile","NA","Chile",2,"-33.46","-70.64"
804,"http://hesperomys.com/c/804","SNGP","Shenglingshan National Geological Park","NA","NA","http://hesperomys.com/r/294","Sichuan","NA","China",1,"NA","NA"
373,"http://hesperomys.com/c/373","SNHM","Shanghai Natural History Museum","NA","Shanghai","http://hesperomys.com/r/292","Shanghai","NA","China",28,"31.23","121.47"
367,"http://hesperomys.com/c/367","SNMBR","Staatliches Naturhistorisches Museum Braunschweig","NA","Braunschweig","http://hesperomys.com/r/782","Lower Saxony","Lower Saxony","Germany",0,"NA","NA"
355,"http://hesperomys.com/c/355","SNMMNH","Slovak National Museum — Museum of Natural History","NA","Bratislava","http://hesperomys.com/r/158","Slovakia","NA","Slovakia",5,"48.16","17.13"
118,"http://hesperomys.com/c/118","SNR","Rhoads collection","NA","NA","http://hesperomys.com/r/187","United States","NA","United States",0,"NA","NA"
697,"http://hesperomys.com/c/697","SNU","Seoul National University","NA","Seoul","http://hesperomys.com/r/91","South Korea","NA","South Korea",3,"NA","NA"
561,"http://hesperomys.com/c/561","Solé collection","Collection of Jesus Solé","NA","Tona","http://hesperomys.com/r/4031","Barcelona","NA","Spain",1,"41.85","2.23"
1346,"http://hesperomys.com/c/1346","Sopron","Franz Liszt Landesmuseum","NA","Sopron","http://hesperomys.com/r/74","Hungary","NA","Hungary",1,"47.68","16.579999999999998"
928,"http://hesperomys.com/c/928","SPIA","Shaanxi Provincial Institute of Archaeology","NA","Shenheyuan","http://hesperomys.com/r/290","Shaanxi","NA","China",1,"NA","NA"
1088,"http://hesperomys.com/c/1088","SQU","Sultan Qaboos University","NA","Muscat","http://hesperomys.com/r/132","Oman","NA","Oman",1,"23.61","58.54"
